new_id,id,name
1,19272,Joe Russo
2,19271,Anthony Russo
3,1302082,David F. Sandberg
4,1424064,Kyouhei Yamaguchi
5,65630,Rob Letterman
6,53068,Ryan Fleck
7,53069,Anna Boden
8,1362815,David Yarovesky
9,95972,Hans Petter Moland
10,1297518,Kazuaki Imai
11,57581,Neil Marshall
12,40644,Chad Stahelski
13,1290272,Dennis Widmyer
14,1154561,Kevin Kölsch
15,1495940,Frankie Chen
16,11614,M. Night Shyamalan
17,12891,Joss Whedon
18,1586194,Jenny Gage
19,69237,Joe Berlinger
20,1056121,Ryan Coogler
21,91493,Chris Addison
22,55934,Taika Waititi
23,69797,Dean DeBlois
24,84124,Tina Gordon Chism
25,15218,James Gunn
26,1481804,Tomoka Nagaoka
27,510,Tim Burton
28,936670,Bob Persichetti
29,151007,Peter Ramsey
30,59918,Rodney Rothman
31,39189,Stephen Merchant
32,366,James Mangold
33,20739,Adam Shankman
34,7879,John Lasseter
35,56322,Amy Poehler
36,11181,Kenneth Branagh
37,231084,Chee Keong Cheung
38,2294,Robert Rodriguez
39,291263,Jordan Peele
40,2127,James Wan
41,59026,Peyton Reed
42,15277,Jon Favreau
43,108,Peter Jackson
44,956,Guy Ritchie
45,37932,F. Gary Gray
46,4945,Joe Johnston
47,165787,Rich Moore
48,567562,Phil Johnston
49,1033661,Travis Knight
50,525,Christopher Nolan
51,40684,David Leitch
52,1293994,Jon Watts
53,10965,Chris Columbus
54,150630,Nicholas McCarthy
55,1607672,Michael Chaves
56,128276,Otto Bathurst
57,2636,Alfred Hitchcock
58,11343,David Yates
59,26714,John R. Leonetti
60,1196401,Tomonori Sudou
61,56501,Michael Spierig
62,56502,Peter Spierig
63,1159855,André Badalo
64,1306608,Adam Robitel
65,15344,J.J. Abrams
66,36602,Peter Berg
67,3556,Roman Polanski
68,54040,John Lee Hancock
69,74619,Sean Anders
70,47005,Alan Taylor
71,30715,Terrence Malick
72,55499,Scott Derrickson
73,91268,Ruben Fleischer
74,66212,Timo Vuorensola
75,1704,Gore Verbinski
76,1,George Lucas
77,190,Clint Eastwood
78,2034,Danny Boyle
79,19850,Catherine Hardwicke
80,54248,Christopher Landon
81,11694,Doug Liman
82,77123,Gonzalo López-Gallego
83,18899,Yuen Woo-ping
84,88857,Dome Karukoski
85,1108,Shane Black
86,76004,Josh Janowicz
87,5281,Spike Lee
88,9032,Bryan Singer
89,1419579,Christian Rivers
90,55252,Tim Miller
91,1100748,Frant Gwo
92,6884,Patty Jenkins
93,4499,Tom Shadyac
94,1709468,Gerard McMurray
