new_id,id,title,release_date,runtime,poster_path,backdrop_path,video_path,overview,genre,crew,cast,similar_movie
1,447404,명탐정 피카츄,2019-05-03,105,http://image.tmdb.org/t/p/original//8Vb7PJ2aUzel5iQ6R2Jxe4MTWac.jpg,http://image.tmdb.org/t/p/w500//nDP33LmQwNsnPv29GQazz59HjJI.jpg,https://www.youtube.com/embed/iY50AnMvuio,"기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디? 유일한 단서는 탐정모자에 적힌 해리란 이름과 주소. 주소 속 아파트에서 자신의 말을 유일하게 알아 듣는, 실종된 해리의 아들 팀 굿맨을 만나게 된다. 명탐정의 촉으로 이건 그야말로 대.박.사.건! 사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다. 피카피카!","[9648, 10751, 80, 14, 35, 878]",[65630],"[10859, 1029934, 221192, 2440, 3899, 62879, 1325961, 174708, 2300244, 1089873, 1109702, 2251714, 2223752, 2300262, 1555229, 1134885, 1821232, 1411379, 1091324, 62968, 73044, 1502439, 1691900, 199529, 2106678, 1655621, 2219124, 1785923, 1669675, 1744234, 1743363, 1941849, 1588173, 2251709, 2251710, 2251711, 2251712, 2251713, 1813796, 1363065, 2219130, 1841454, 2251715, 2085742, 2251716, 2251717, 1744117, 1812530, 1927097, 2245765, 2219133, 2251718, 2251719, 2251720, 196819, 2251721, 2251722, 2251723, 2076562, 2251724, 2251725, 1943000, 1744072, 2251726, 2219129, 2251727, 1987686, 1394361, 2251728, 1942348, 1532230, 1384646]","[12150, 4771, 2275, 807, 90, 392044, 320, 984, 75780, 96, 436274, 306, 9411, 11423, 357096, 10559, 25376, 949, 189, 8090]"
2,299534,어벤져스: 엔드게임,2019-04-24,181,http://image.tmdb.org/t/p/original//n78LK2t1uQP68Ud0VXHRe0HmKOp.jpg,http://image.tmdb.org/t/p/w500//7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,https://www.youtube.com/embed/8-LUH0OJKgg,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스! 먼저 떠난 그들을 위해 모든 것을 걸었다!","[12, 878, 28]","[19272, 19271]","[3223, 16828, 74568, 103, 1245, 17604, 1896, 22226, 51329, 60073, 543261, 16851, 71580, 172069, 1136406, 8691, 12052, 19034, 62561, 14343, 550843, 53650, 60898, 91606, 82104, 30082, 139820, 12835, 543530, 73457, 1083010, 21134, 3063, 15277, 39459, 524, 3141, 55934, 9780, 3392, 1160, 227, 71189, 51663, 1447932, 1817, 1018947, 81685, 9195, 29240, 19655, 1649152, 4135, 2231, 2296235, 19272, 1379821, 236696, 62105, 111513, 208296, 83586, 17181, 2298444, 1468400, 2298443, 2020904, 102744, 555249, 1028454, 7624, 1760879, 2267329, 1924769, 2297907, 1442722, 1502949, 1480044, 1265796, 1713975, 375719, 1895760, 1004624, 1851154, 1120883, 136921, 964421, 97844, 44060, 1448180, 2031105, 2092976, 1636738]","[49521, 9738, 36647, 272, 155, 1924, 1452, 1979, 44912, 141052, 263115, 297762, 299536, 283995, 382322, 246655, 209112, 299537, 8536, 30061]"
3,287947,샤잠!,2019-03-23,132,http://image.tmdb.org/t/p/original//sPZxApU8d90Czd11S60UqOhuP9R.jpg,http://image.tmdb.org/t/p/w500//bi4jh0Kt0uuZGsGJoUUfqmbrjQg.jpg,https://www.youtube.com/embed/li1vYlPdzDc,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다! 주문을 외쳐라, ‘샤잠’!","[35, 12, 14, 28]",[1302082],"[69899, 2983, 1768966, 1774679, 11702, 938, 1726891, 22122, 54633, 101028, 1397359, 1299232, 1940197, 51976, 1181306, 111698, 1639977, 5589, 2310745, 2310746, 948533, 1896522, 1994215, 1482440, 2009135, 1857464, 1302131, 1659211, 20755, 1941314, 1669169, 1723918, 1994213, 1739122, 43284, 1881104, 2284635, 1887791, 1906145, 1993743, 2005750, 2037558, 2010882, 2022034, 1281629, 2093827, 2041867, 1021545, 1639984, 1883593, 2093823, 2275601, 2275602, 1302082, 2072200]","[364, 9021, 1452, 1924, 49521, 44912, 209112, 284052, 297762, 299536, 141052, 8536, 30061, 9531, 272, 155, 9651, 15359, 251519, 65291]"
4,543103,가면라이더 헤이세이 제네레이션즈 FOREVER,2018-12-22,0,http://image.tmdb.org/t/p/original//6sOFQDlkY6El1B2P5gklzJfVdsT.jpg,http://image.tmdb.org/t/p/w500//uufTqD2CSn1NqL3cXEl4Vp3bCav.jpg,,,"[28, 12, 878]",[1424064],"[2101716, 1864577, 2065347, 1509675, 2115306, 2099590, 91873, 1240339, 1560393, 1864579, 1779568, 224411, 2157994, 237323, 1323828, 121800, 227624, 1502226, 230659, 90571, 555099, 219659, 9726, 58450]","[508830, 504897, 63, 87101, 105, 816, 11469, 10122, 7551, 871, 7191, 1649, 41154, 59967, 36819, 537059, 124905, 22494, 14620, 13475]"
5,299537,캡틴 마블,2019-03-06,124,http://image.tmdb.org/t/p/original//jWd9tWuoDPN561r7vp4ekngEe7f.jpg,http://image.tmdb.org/t/p/w500//w2PMyoyLU22YvrGK3smVM9fW1jj.jpg,https://www.youtube.com/embed/n1Xz13zlWWw,"1995년, 공군 파일럿 시절의 기억을 잃고 크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다. 쉴드 신참 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은 지구로 향하는 더 큰 위협을 감지하고 힘을 합쳐 전쟁을 끝내야 하는데…","[28, 12, 878]","[53068, 53069]","[60073, 2231, 77335, 9642, 516, 938, 72095, 1360281, 97576, 9048, 76618, 86381, 1172108, 2258733, 1232599, 1610710, 6623, 74539, 28868, 1514930, 1163622, 2175390, 2292715, 1183671, 1288264, 2293121, 2219719, 2219716, 149776, 7624, 1038379, 88928, 76022, 17837, 1077805, 2292713, 583885, 1523304, 1240417, 16828, 1245, 1896, 103]","[9738, 1726, 1771, 10138, 1452, 1979, 10195, 1924, 1927, 36647, 100402, 271110, 68721, 246655, 297762, 8536, 9531, 13640, 557, 559]"
6,531309,더 보이,2019-05-10,90,http://image.tmdb.org/t/p/original//eTEXcHiEk6r10HD2015xNYLUWYu.jpg,http://image.tmdb.org/t/p/w500//uHEI6v8ApQusjbaRZ8o7WcLYeWb.jpg,https://www.youtube.com/embed/Ce0emmx6Ky0,"어느 날, 간절히 아기를 원하던 부부에게 찾아온 다른 세계의 소년 ‘브랜든’. 부모의 보살핌 속에 평범하게 자라던 중 자신에게 숨겨진 강력한 힘을 깨닫게 되면서 인류를 위협할 사악한 본성을 드러내기 시작하는데…","[27, 878, 18, 53]",[1362815],"[9281, 62562, 449513, 191202, 87165, 559457, 1215392, 1411625, 85096, 2020904, 1832081, 2069051, 1683095, 2026972, 37937, 1455812]","[44912, 155, 1927, 263115, 1452, 9738, 1924, 49521, 8536, 65291, 9531, 10200, 36648, 49026, 36586, 487670, 315635, 9480, 272, 1979]"
7,456740,헬보이,2019-04-10,121,http://image.tmdb.org/t/p/original//gua7L4syuPUZeG35lpu5xvOzquH.jpg,http://image.tmdb.org/t/p/w500//5BkSkNtfrnTuKOtTaZhl8avn4wU.jpg,https://www.youtube.com/embed/AcTh8rqs2Fc,"헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…","[28, 12, 14]",[57581],"[35029, 63, 6972, 18307, 1535218, 1146114, 63364, 2598, 56100, 19159, 21321, 75331, 51301, 1547021, 1180134, 67247, 1115, 113523, 58776, 1345950, 83137, 122354, 2287315, 2292683]","[9738, 36647, 1726, 1771, 10138, 1452, 1979, 10195, 1924, 1927, 100402, 271110, 68721, 246655, 299537, 8536, 9531, 13640, 557, 559]"
8,299536,어벤져스: 인피니티 워,2018-04-25,149,http://image.tmdb.org/t/p/original//kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,http://image.tmdb.org/t/p/w500//bOGkgRGdhrBYJSLpXaxhXVstddV.jpg,https://www.youtube.com/embed/xUDhdCsLkjU,"타노스(조시 브롤린)는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지(베네딕트 컴버배치)가 소유한 타임 스톤, 비전(폴 베타니)의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨(로버트 다우니 주니어)과 스파이더맨(톰 홀랜드)은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카(크리스 에반스), 완다(엘리자베스 올슨), 블랙 위도우(스칼렛 요한슨), 블랙 팬서(채드윅 보스먼) 등이 비전을 지키기 위해 뭉친다.","[12, 28, 14]","[19272, 19271]","[3223, 74568, 16828, 103, 1245, 71580, 1136406, 172069, 1896, 8691, 543261, 550843, 6162, 53650, 60898, 91606, 17605, 82104, 22970, 30082, 139820, 543530, 12835, 51329, 12052, 1121, 16851, 73457, 51663, 227, 1083010, 236696, 29240, 1308445, 1379821, 7624, 1447932, 139900, 62105, 102744, 1649152, 211937, 1517836, 212003, 1767250, 1448180, 555249, 1779567, 5552, 964421, 97844, 2031105, 1003792, 1480027, 2105647, 11181, 2231, 71189]","[9738, 283995, 284052, 299534, 299537, 36647, 272, 1724, 1726, 1771, 68721, 155, 10138, 10195, 1924, 1452, 1979, 49521, 44912, 271110]"
9,458156,존 윅 3: 파라벨룸,2019-05-15,131,http://image.tmdb.org/t/p/original//ghx93NNkUHStNFIoXRoCMbfsxHv.jpg,http://image.tmdb.org/t/p/w500//jEjyjX4izUucoq7A9jmbcT6q3e1.jpg,https://www.youtube.com/embed/WyRv4tz9SyQ,"업계 레전드 킬러 ‘존 윅’은 국제암살자연합을 통해 파문조치를 당한 후 그에게 따라 붙은 역대 최고의 현상금 1,400만 불로 인해 전 세계의 가장 위협적인 킬러들이 그와의 전쟁을 선포한다.","[80, 28, 53]",[40644],"[6384, 4587, 6972, 2975, 5657, 5419, 18702, 129101, 195930, 1776040, 111683, 2057864, 59262, 1379749, 142019, 2220178, 1653352, 1913, 9462, 1447869, 2311142, 1461347, 2311144, 1934389, 579330]","[1948, 2501, 2502, 324668, 27582, 101, 787, 682, 3132, 1538, 156022, 245891, 49040, 2503, 390043, 449985, 10063, 9654, 157845, 266396]"
10,157433,공포의 묘지,2019-04-04,101,http://image.tmdb.org/t/p/original//vMwJY1zpUZ0zsLFyIqVVWuAzZQz.jpg,http://image.tmdb.org/t/p/w500//dpJq6trUDOutSPSLrFdROPmzaVn.jpg,,"갑작스런 사고로 딸 엘리를 잃은 크리드(제이슨 클락)는 죽은 것이 살아 돌아온다는 애완동물 공동묘지에 딸을 묻게 되고, 어딘가 다른 모습으로 돌아온 엘리는 무시무시한 공포의 대상이 되어 가족들의 숨통을 조여오는데…","[53, 9648, 27]","[1290272, 1154561]","[76512, 139150, 12074, 1853972, 2143771, 2143772, 2143870, 2143871, 1747113, 188983, 135993]","[457955, 82654, 72190, 16281, 294254, 336843, 8408, 485415, 11429, 281957, 628, 747, 10925, 766, 22970, 131631, 273477, 19908, 445651, 411728]"
